;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lista de Entes Habilitados/Inabilitados da Complementação da União-VAAT 2026;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;Código IBGE;Veficação  § 4º do art. 13 da  Lei nº 14.113/20;Pendência identificada;;;;;;;;;;;;
AC;Acre;12;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Acrelândia;1200013;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Assis Brasil;1200054;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Brasiléia;1200104;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Bujari;1200138;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Capixaba;1200179;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Cruzeiro do Sul;1200203;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Epitaciolândia;1200252;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Feijó;1200302;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Jordão;1200328;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Mâncio Lima;1200336;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Manoel Urbano;1200344;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Marechal Thaumaturgo;1200351;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Plácido de Castro;1200385;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Porto Acre;1200807;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Porto Walter;1200393;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Rio Branco;1200401;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Rodrigues Alves;1200427;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Santa Rosa do Purus;1200435;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Sena Madureira;1200500;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Senador Guiomard;1200450;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Tarauacá;1200609;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AC;Xapuri;1200708;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Água Branca;2700102;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Alagoas;27;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Anadia;2700201;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Arapiraca;2700300;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Atalaia;2700409;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Barra de Santo Antônio;2700508;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Barra de São Miguel;2700607;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Batalha;2700706;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Belém;2700805;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Belo Monte;2700904;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Boca da Mata;2701001;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Branquinha;2701100;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Cacimbinhas;2701209;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Cajueiro;2701308;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Campestre;2701357;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Campo Alegre;2701407;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Campo Grande;2701506;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Canapi;2701605;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Capela;2701704;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Carneiros;2701803;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Chã Preta;2701902;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Coité do Nóia;2702009;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Colônia Leopoldina;2702108;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Coqueiro Seco;2702207;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Coruripe;2702306;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Craíbas;2702355;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Delmiro Gouveia;2702405;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Dois Riachos;2702504;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Estrela de Alagoas;2702553;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Feira Grande;2702603;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Feliz Deserto;2702702;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Flexeiras;2702801;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Girau do Ponciano;2702900;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Ibateguara;2703007;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Igaci;2703106;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Igreja Nova;2703205;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Inhapi;2703304;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Jacaré dos Homens;2703403;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Jacuípe;2703502;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Japaratinga;2703601;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Jaramataia;2703700;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Jequiá da Praia;2703759;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
AL;Joaquim Gomes;2703809;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
