ANEXO IV;;;;;;
Portaria Interministerial MEC/MF nº 14, de 29 de dezembro de 2025;;;;;;
Demonstrativo da Distribuição da Complementação da União-VAAT ao Fundeb no Ano de 2026 (art. 16, incisos V a VII da Lei nº 14.113/2020);;;;;;
UF;Ente Federado;Código IBGE; VAAT anterior à Complementação-VAAT (art. 16, IV) (R$) ;" VAAT com a Complementação da União-VAAT
(art. 16, V) (R$) ";" Complementação da União-VAAT
(art. 16, VI) (R$) ";Indicador de Educação Infantil (IEI) - Percentual da Complementação da União-VAAT vinculado à Educação Infantil (art. 16, VII) (%)
AC;Acre;12; 11.421,84 ; 11.421,84 ; -   ;0%
AC;ACRELANDIA;1200013; 9.342,37 ; 10.194,38 ; 2.414.802,26 ;54%
AC;ASSIS BRASIL;1200054; 9.192,18 ; 10.194,38 ; 1.893.458,75 ;67%
AC;BRASILEIA;1200104; 8.570,65 ; 10.194,38 ; 8.067.731,51 ;59%
AC;BUJARI;1200138; 7.579,62 ; 10.194,38 ; 7.059.361,50 ;56%
AC;CAPIXABA;1200179; 9.377,44 ; 10.194,38 ; 2.207.975,63 ;56%
AC;CRUZEIRO DO SUL;1200203; 8.250,54 ; 10.194,38 ; 36.784.673,02 ;55%
AC;EPITACIOLANDIA;1200252; 8.038,77 ; 10.194,38 ; 8.810.533,77 ;57%
AC;FEIJO;1200302; 7.051,31 ; 10.194,38 ; 23.532.821,64 ;60%
AC;JORDAO;1200328; 9.116,16 ; 10.194,38 ; 4.657.658,54 ;57%
AC;MANCIO LIMA;1200336; 8.500,84 ; 10.194,38 ; 8.070.728,80 ;49%
AC;MANOEL URBANO;1200344; 8.466,91 ; 10.194,38 ; 5.938.561,09 ;56%
AC;MARECHAL THAUMATURGO;1200351; 9.395,25 ; 10.194,38 ; 5.411.238,45 ;59%
AC;PLACIDO DE CASTRO;1200385; 9.199,62 ; 10.194,38 ; 3.049.419,97 ;55%
AC;PORTO ACRE;1200807; 7.267,67 ; 10.194,38 ; 12.322.202,99 ;53%
AC;PORTO WALTER;1200393; 10.911,43 ; 10.911,43 ; -   ;0%
AC;RIO BRANCO;1200401; 12.598,04 ; 12.598,04 ; -   ;0%
AC;RODRIGUES ALVES;1200427; 10.296,02 ; 10.296,02 ; -   ;0%
AC;SANTA ROSA DO PURUS;1200435; 9.628,88 ; 10.194,38 ; 1.611.612,57 ;63%
AC;SENA MADUREIRA;1200500; 9.107,18 ; 10.194,38 ; 8.298.509,53 ;61%
AC;SENADOR GUIOMARD;1200450; 8.717,15 ; 10.194,38 ; 5.055.441,91 ;54%
AC;TARAUACA;1200609; 8.304,15 ; 10.194,38 ; 20.340.321,77 ;60%
AC;XAPURI;1200708; 7.893,93 ; 10.194,38 ; 6.206.467,69 ;58%
AL;AGUA BRANCA;2700102; 7.737,20 ; 10.194,38 ; 18.418.226,14 ;51%
AL;Alagoas;27; 10.939,88 ; 10.939,88 ; -   ;0%
AL;ANADIA;2700201; 6.984,83 ; 10.194,38 ; 15.599.373,79 ;50%
AL;ARAPIRACA;2700300; 7.523,93 ; 10.194,38 ; 122.655.599,21 ;54%
AL;ATALAIA;2700409; 7.874,30 ; 10.194,38 ; 29.148.966,69 ;51%
AL;BARRA DE SANTO ANTONIO;2700508; 7.995,24 ; 10.194,38 ; 11.230.179,03 ;55%
AL;BARRA DE SAO MIGUEL;2700607; 9.443,10 ; 10.194,38 ; 2.323.346,97 ;43%
AL;BATALHA;2700706; 9.865,18 ; 10.194,38 ; 1.635.394,71 ;49%
AL;BELEM;2700805; 7.867,17 ; 10.194,38 ; 6.006.231,10 ;48%
AL;BELO MONTE;2700904; 6.667,02 ; 10.194,38 ; 11.805.552,03 ;37%
AL;BOCA DA MATA;2701001; 7.707,04 ; 10.194,38 ; 18.795.809,30 ;48%
AL;BRANQUINHA;2701100; 7.970,86 ; 10.194,38 ; 10.697.284,97 ;42%
AL;CACIMBINHAS;2701209; 9.880,37 ; 10.194,38 ; 1.136.361,14 ;47%
AL;CAJUEIRO;2701308; 7.179,35 ; 10.194,38 ; 19.318.409,26 ;46%
AL;CAMPESTRE;2701357; 7.696,91 ; 10.194,38 ; 6.195.983,33 ;46%
AL;CAMPO ALEGRE;2701407; 5.936,13 ; 10.194,38 ; 81.292.338,09 ;45%
AL;CAMPO GRANDE;2701506; 8.583,20 ; 10.194,38 ; 5.567.188,90 ;56%
AL;CANAPI;2701605; 7.786,47 ; 10.194,38 ; 20.460.329,93 ;46%
AL;CAPELA;2701704; 7.852,07 ; 10.194,38 ; 13.327.295,16 ;44%
AL;CARNEIROS;2701803; 7.558,85 ; 10.194,38 ; 9.601.557,08 ;51%
AL;CHA PRETA;2701902; 8.408,10 ; 10.194,38 ; 3.450.669,61 ;42%
AL;COITE DO NOIA;2702009; 7.519,01 ; 10.194,38 ; 9.983.674,37 ;51%
AL;COLONIA LEOPOLDINA;2702108; 7.199,89 ; 10.194,38 ; 18.006.123,68 ;48%
AL;COQUEIRO SECO;2702207; 9.907,86 ; 10.194,38 ; 470.975,36 ;48%
AL;CORURIPE;2702306; 7.084,93 ; 10.194,38 ; 61.119.640,22 ;45%
AL;CRAIBAS;2702355; 7.491,72 ; 10.194,38 ; 26.585.777,32 ;51%
AL;DELMIRO GOUVEIA;2702405; 7.836,17 ; 10.194,38 ; 31.418.638,05 ;54%
AL;DOIS RIACHOS;2702504; 8.501,96 ; 10.194,38 ; 7.406.049,39 ;52%
AL;ESTRELA DE ALAGOAS;2702553; 7.369,10 ; 10.194,38 ; 13.799.211,85 ;44%
AL;FEIRA GRANDE;2702603; 7.481,66 ; 10.194,38 ; 18.860.962,38 ;56%
AL;FELIZ DESERTO;2702702; 10.086,73 ; 10.194,38 ; 160.619,38 ;52%
AL;FLEXEIRAS;2702801; 8.930,06 ; 10.194,38 ; 4.352.127,24 ;51%
AL;GIRAU DO PONCIANO;2702900; 9.735,72 ; 10.194,38 ; 6.884.801,86 ;49%
AL;IBATEGUARA;2703007; 5.985,73 ; 10.194,38 ; 22.648.767,18 ;45%
AL;IGACI;2703106; 7.511,61 ; 10.194,38 ; 17.013.314,68 ;55%
AL;IGREJA NOVA;2703205; 7.961,86 ; 10.194,38 ; 16.050.944,17 ;54%
AL;INHAPI;2703304; 7.800,21 ; 10.194,38 ; 16.750.782,67 ;54%
AL;JACARE DOS HOMENS;2703403; 6.766,98 ; 10.194,38 ; 11.646.196,29 ;32%
AL;JACUIPE;2703502; 10.156,58 ; 10.194,38 ; 79.570,57 ;43%
AL;JAPARATINGA;2703601; 8.403,10 ; 10.194,38 ; 5.728.102,86 ;55%
AL;JARAMATAIA;2703700; 7.877,45 ; 10.194,38 ; 4.730.449,37 ;44%
AL;JEQUIA DA PRAIA;2703759; 9.233,00 ; 10.194,38 ; 3.150.501,64 ;48%
AL;JOAQUIM GOMES;2703809; 8.090,73 ; 10.194,38 ; 9.838.827,04 ;51%
AL;JUNDIA;2703908; 8.207,92 ; 10.194,38 ; 4.698.510,67 ;50%
AL;JUNQUEIRO;2704005; 8.293,06 ; 10.194,38 ; 13.089.460,76 ;48%
AL;LAGOA DA CANOA;2704104; 9.077,32 ; 10.194,38 ; 8.386.276,11 ;48%
AL;LIMOEIRO DE ANADIA;2704203; 5.821,26 ; 10.194,38 ; 56.235.100,16 ;47%
AL;MACEIO;2704302; 11.554,76 ; 11.554,76 ; -   ;0%
AL;MAJOR ISIDORO;2704401; 7.696,44 ; 10.194,38 ; 17.314.376,09 ;44%
AL;MAR VERMELHO;2704906; 9.157,97 ; 10.194,38 ; 1.041.958,89 ;45%
AL;MARAGOGI;2704500; 9.120,82 ; 10.194,38 ; 9.836.974,58 ;55%
AL;MARAVILHA;2704609; 7.534,33 ; 10.194,38 ; 13.056.244,35 ;43%
AL;MARECHAL DEODORO;2704708; 8.926,98 ; 10.194,38 ; 21.730.862,57 ;50%
AL;MARIBONDO;2704807; 7.375,08 ; 10.194,38 ; 9.201.133,60 ;47%
AL;MATA GRANDE;2705002; 8.656,18 ; 10.194,38 ; 10.848.504,23 ;46%
AL;MATRIZ DE CAMARAGIBE;2705101; 8.633,52 ; 10.194,38 ; 10.407.811,01 ;54%
AL;MESSIAS;2705200; 8.318,82 ; 10.194,38 ; 8.912.093,90 ;53%
AL;MINADOR DO NEGRAO;2705309; 8.442,85 ; 10.194,38 ; 3.859.271,58 ;44%
AL;MONTEIROPOLIS;2705408; 6.666,13 ; 10.194,38 ; 12.210.355,98 ;50%
AL;MURICI;2705507; 7.754,23 ; 10.194,38 ; 24.006.653,24 ;49%
AL;NOVO LINO;2705606; 8.699,58 ; 10.194,38 ; 7.234.109,54 ;46%
AL;OLHO DAGUA DAS FLORES;2705705; 7.847,02 ; 10.194,38 ; 14.094.219,62 ;45%
AL;OLHO DAGUA DO CASADO;2705804; 7.262,81 ; 10.194,38 ; 8.645.609,45 ;58%
AL;OLHO DAGUA GRANDE;2705903; 9.313,91 ; 10.194,38 ; 1.774.153,71 ;62%
AL;OLIVENCA;2706000; 7.212,69 ; 10.194,38 ; 13.598.025,11 ;47%
AL;OURO BRANCO;2706109; 7.927,11 ; 10.194,38 ; 9.862.320,56 ;51%
AL;PALESTINA;2706208; 7.249,69 ; 10.194,38 ; 5.490.699,85 ;47%
AL;PALMEIRA DOS INDIOS;2706307; 8.030,07 ; 10.194,38 ; 32.395.656,45 ;49%
AL;PAO DE ACUCAR;2706406; 8.065,05 ; 10.194,38 ; 14.662.109,29 ;50%
AL;PARICONHA;2706422; 7.731,18 ; 10.194,38 ; 7.986.689,71 ;55%
AL;PARIPUEIRA;2706448; 8.777,16 ; 10.194,38 ; 5.773.300,09 ;51%
AL;PASSO DE CAMARAGIBE;2706505; 7.942,66 ; 10.194,38 ; 10.035.620,37 ;48%
AL;PAULO JACINTO;2706604; 8.215,85 ; 10.194,38 ; 3.219.522,29 ;46%
AL;PENEDO;2706703; 6.859,19 ; 10.194,38 ; 49.521.141,94 ;54%
AL;PIACABUCU;2706802; 8.212,78 ; 10.194,38 ; 9.677.615,56 ;53%
AL;PILAR;2706901; 7.886,80 ; 10.194,38 ; 30.259.038,59 ;50%
AL;PINDOBA;2707008; 9.745,51 ; 10.194,38 ; 362.906,82 ;32%
AL;PIRANHAS;2707107; 7.641,77 ; 10.194,38 ; 17.593.232,78 ;53%
AL;POCO DAS TRINCHEIRAS;2707206; 10.698,89 ; 10.698,89 ; -   ;0%
